Product Name,SKU,Parent SKU,Brand,Category,Description,MRP,Selling Price,Stock,Length (cm),Breadth (cm),Height (cm),Weight (kg),HSN,EAN/UPC,Image URL,Variant,Variant Value,Product ID,Variant ID
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-3XL,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,2,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,3XL,426306090,622449355
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-XS,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,XS,720140295,957436437
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-S,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,S,720140295,813673541
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-M,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,9,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,M,720140295,945958829
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-L,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,10,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,L,720140295,233851361
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-XL,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,XL,720140295,994936328
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-XXL,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,6,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,XXL,720140295,125693081
Plain Oversized Tee - Beige,PLAIN-BEIGE-BEIGE-3XL,,,Oversized,"Classic plain oversized tee in beige. Versatile, comfortable, and perfect for any casual occasion.",470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159608/products/ebyjqddiewwigdek1vqu.jpg,Size,3XL,720140295,771047741
God vs Devil,GOD-VS-DEVIL-RED-XS,,,Oversized,Bold graphic tee featuring the eternal struggle between God and Devil. Made with premium cotton for maximum comfort.,800,800,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768304779/products/ocsnxgoujpvmfmxdu2v7.jpg,Size,XS,229275781,710565530
God vs Devil,GOD-VS-DEVIL-RED-S,,,Oversized,Bold graphic tee featuring the eternal struggle between God and Devil. Made with premium cotton for maximum comfort.,800,800,6,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768304779/products/ocsnxgoujpvmfmxdu2v7.jpg,Size,S,229275781,422508685
God vs Devil,GOD-VS-DEVIL-RED-M,,,Oversized,Bold graphic tee featuring the eternal struggle between God and Devil. Made with premium cotton for maximum comfort.,800,800,36,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768304779/products/ocsnxgoujpvmfmxdu2v7.jpg,Size,M,229275781,638899933
God vs Devil,GOD-VS-DEVIL-RED-L,,,Oversized,Bold graphic tee featuring the eternal struggle between God and Devil. Made with premium cotton for maximum comfort.,800,800,36,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768304779/products/ocsnxgoujpvmfmxdu2v7.jpg,Size,L,229275781,955096301
Radio Story,RADIO-STORY-BLUE-XS,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,8,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,XS,988199952,104552465
Radio Story,RADIO-STORY-BLUE-S,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,9,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,S,988199952,979758337
Radio Story,RADIO-STORY-BLUE-M,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,42,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,M,988199952,587268912
Radio Story,RADIO-STORY-BLUE-L,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,45,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,L,988199952,702161809
Radio Story,RADIO-STORY-BLUE-XL,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,6,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,XL,988199952,414938810
Radio Story,RADIO-STORY-BLUE-XXL,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,6,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,XXL,988199952,517801638
Radio Story,RADIO-STORY-BLUE-3XL,,,Oversized,Vintage-inspired Radio Story design that takes you back in time. Comfortable oversized fit with premium fabric.,750,750,2,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160095/products/ypyvlvgxidfha623dxui.jpg,Size,3XL,988199952,624929410
Plain Oversized Tee - Red,PLAIN-RED-RED-XS,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,3,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,XS,454288968,978476241
Plain Oversized Tee - Red,PLAIN-RED-RED-S,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,3,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,S,454288968,289855301
Plain Oversized Tee - Red,PLAIN-RED-RED-M,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,11,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,M,454288968,710192936
Plain Oversized Tee - Red,PLAIN-RED-RED-L,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,8,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,L,454288968,650253358
Plain Oversized Tee - Red,PLAIN-RED-RED-XL,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,10,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,XL,454288968,392950051
Plain Oversized Tee - Red,PLAIN-RED-RED-XXL,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,XXL,454288968,111208500
Plain Oversized Tee - Red,PLAIN-RED-RED-3XL,,,Oversized,Bold red oversized tee. Make a statement with this vibrant color.,470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159406/products/kfvkhxxaj3tbermnpfqm.jpg,Size,3XL,454288968,739975382
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-XS,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,XS,158863184,435769006
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-S,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,S,158863184,112455352
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-M,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,M,158863184,484490176
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-L,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,7,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,L,158863184,193124307
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-XL,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,10,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,XL,158863184,793341019
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-XXL,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,XXL,158863184,667608159
Plain Oversized Tee - Black,PLAIN-BLACK-BLACK-3XL,,,Oversized,Timeless black oversized tee. A wardrobe essential that never goes out of style.,470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1768407844/products/nlagmyf058sdoe9mz6rx.jpg,Size,3XL,158863184,803341794
New To The City,NEW-TO-THE-CITY-WHITE-S,,,Oversized,"Fresh start, new adventures. Perfect for those exploring new horizons with style and comfort.",750,750,10,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159672/products/tg34ph4kyw7p5nukleet.jpg,Size,S,448688356,882902099
New To The City,NEW-TO-THE-CITY-WHITE-M,,,Oversized,"Fresh start, new adventures. Perfect for those exploring new horizons with style and comfort.",750,750,18,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159672/products/tg34ph4kyw7p5nukleet.jpg,Size,M,448688356,781730465
New To The City,NEW-TO-THE-CITY-WHITE-L,,,Oversized,"Fresh start, new adventures. Perfect for those exploring new horizons with style and comfort.",750,750,27,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159672/products/tg34ph4kyw7p5nukleet.jpg,Size,L,448688356,984775233
New To The City,NEW-TO-THE-CITY-WHITE-XL,,,Oversized,"Fresh start, new adventures. Perfect for those exploring new horizons with style and comfort.",750,750,24,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159672/products/tg34ph4kyw7p5nukleet.jpg,Size,XL,448688356,341606682
New To The City,NEW-TO-THE-CITY-WHITE-XXL,,,Oversized,"Fresh start, new adventures. Perfect for those exploring new horizons with style and comfort.",750,750,2,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159672/products/tg34ph4kyw7p5nukleet.jpg,Size,XXL,448688356,155002203
Love Laughter War,LOVE-LAUGHTER-WAR-BLACK-XS,,,Oversized,"Express your emotions with this unique design showcasing Love, Laughter, and War. Perfect for making a statement.",750,750,3,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160007/products/tridczqwo7otzxgmaegy.jpg,Size,XS,834557765,625847001
Love Laughter War,LOVE-LAUGHTER-WAR-BLACK-S,,,Oversized,"Express your emotions with this unique design showcasing Love, Laughter, and War. Perfect for making a statement.",750,750,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160007/products/tridczqwo7otzxgmaegy.jpg,Size,S,834557765,167519283
Love Laughter War,LOVE-LAUGHTER-WAR-BLACK-M,,,Oversized,"Express your emotions with this unique design showcasing Love, Laughter, and War. Perfect for making a statement.",750,750,35,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160007/products/tridczqwo7otzxgmaegy.jpg,Size,M,834557765,299798794
Love Laughter War,LOVE-LAUGHTER-WAR-BLACK-L,,,Oversized,"Express your emotions with this unique design showcasing Love, Laughter, and War. Perfect for making a statement.",750,750,38,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160007/products/tridczqwo7otzxgmaegy.jpg,Size,L,834557765,958465689
Love Laughter War,LOVE-LAUGHTER-WAR-BLACK-XL,,,Oversized,"Express your emotions with this unique design showcasing Love, Laughter, and War. Perfect for making a statement.",750,750,3,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160007/products/tridczqwo7otzxgmaegy.jpg,Size,XL,834557765,212663590
Love Laughter War,LOVE-LAUGHTER-WAR-BLACK-XXL,,,Oversized,"Express your emotions with this unique design showcasing Love, Laughter, and War. Perfect for making a statement.",750,750,3,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160007/products/tridczqwo7otzxgmaegy.jpg,Size,XXL,834557765,111395186
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-XS,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,XS,806019953,350385128
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-S,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,9,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,S,806019953,958500163
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-M,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,26,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,M,806019953,810696390
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-L,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,38,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,L,806019953,924523693
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-XL,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,2,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,XL,806019953,249661902
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-XXL,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,XXL,806019953,671898930
Go With The Flow,GO-WITH-THE-FLOW-BEIGE-3XL,,,Oversized,Embrace the flow of life with this relaxed design. Soft beige color with comfortable oversized fit.,750,750,2,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769160143/products/gecz4vjwqnx9m1nn98m7.jpg,Size,3XL,806019953,593476249
